2021,,,,,,
,,,,,,
Student Race/Ethnicity Responses,,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
Men,American Indian or Alaska Native,81,89,84,82,83
,Asian,"9,783","9,878","10,038","10,118","10,232"
,Black or African American,"2,436","2,534","2,622","2,753","2,983"
,"Hispanic, Latino, or of Spanish Origin","2,779","2,860","2,989","3,127","3,224"
,Native Hawaiian or Other Pacific Islander,27,29,29,36,38
,White,"25,472","24,796","23,958","23,085","21,947"
,Other,983,982,954,"1,000",993
,Multiple Race/Ethnicity,"3,789","3,971","4,166","4,395","4,552"
,Unknown Race/Ethnicity,219,251,295,365,395
,Non-U.S. Citizen and Non-Permanent Resident,674,667,653,632,650
,Total for Men,"46,243","46,057","45,788","45,593","45,097"
,,,,,,
Women,American Indian or Alaska Native,79,86,89,92,94
,Asian,"9,982","10,524","10,980","11,467","12,012"
,Black or African American,"3,611","3,870","4,075","4,318","4,727"
,"Hispanic, Latino, or of Spanish Origin","2,612","2,768","2,933","3,079","3,240"
,Native Hawaiian or Other Pacific Islander,24,31,33,32,32
,White,"21,683","22,019","22,386","22,646","22,756"
,Other,835,863,893,930,954
,Multiple Race/Ethnicity,"3,830","4,122","4,491","4,837","5,337"
,Unknown Race/Ethnicity,179,224,314,415,485
,Non-U.S. Citizen and Non-Permanent Resident,654,659,643,656,691
,Total for Women,"43,489","45,166","46,837","48,472","50,328"
,,,,,,
All,American Indian or Alaska Native,160,175,173,174,177
,Asian,"19,765","20,403","21,019","21,590","22,252"
,Black or African American,"6,047","6,404","6,698","7,072","7,711"
,"Hispanic, Latino, or of Spanish Origin","5,391","5,628","5,922","6,206","6,465"
,Native Hawaiian or Other Pacific Islander,51,60,62,68,70
,White,"47,156","46,816","46,348","45,746","44,726"
,Other,"1,818","1,845","1,847","1,930","1,948"
,Multiple Race/Ethnicity,"7,619","8,094","8,658","9,236","9,894"
,Unknown Race/Ethnicity,398,475,611,786,891
,Non-U.S. Citizen and Non-Permanent Resident,"1,328","1,326","1,296","1,288","1,341"
,Total,"89,733","91,226","92,634","94,096","95,475"
