2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2012-2013,,,2013-2014,,,2014-2015,,,2015-2016,,,2016-2017,,,
State,Medical School,Men,Women,All,Men,Women,All,Men,Women,All,Men,Women,All,Men,Women,All,
AL,Alabama-Heersink,422,325,747,432,320,752,448,331,779,434,346,780,434,358,792,
,South Alabama,173,126,299,176,120,296,182,126,308,184,120,304,185,118,303,
AR,Arkansas,417,270,687,450,239,689,450,241,691,444,260,704,414,288,702,
AZ,Arizona,357,362,719,327,333,660,302,317,619,270,288,558,247,268,515,
,Arizona Phoenix,,,,37,43,80,78,82,160,115,128,243,148,178,326,
CA,California,,,,,,,,,,,,,,,,
,California Northstate,,,,,,,,,,41,19,60,91,59,150,
,Kaiser Permanente-Tyson,,,,,,,,,,,,,,,,
,Loma Linda,430,301,731,433,313,746,422,314,736,412,316,728,400,320,720,
,Southern Cal-Keck,395,348,743,406,361,767,416,361,777,423,367,790,432,376,808,
,Stanford,235,226,461,243,224,467,244,228,472,242,237,479,244,242,486,
,UC Davis,202,238,440,208,236,444,209,250,459,197,262,459,195,271,466,
,UC Irvine,241,239,480,231,249,480,242,240,482,245,247,492,234,246,480,
,UC Riverside,,,,24,26,50,48,52,100,71,79,150,97,112,209,
,UC San Diego,306,278,584,303,275,578,300,279,579,302,278,580,290,288,578,
,UC San Francisco,378,428,806,383,419,802,387,421,808,391,405,796,380,404,784,
,UCLA-Geffen,455,408,863,466,398,864,442,407,849,438,419,857,431,422,853,
CO,Colorado,373,333,706,362,333,695,380,344,724,397,347,744,417,362,779,
CT,Connecticut,188,194,382,205,195,400,206,204,410,206,210,416,212,218,430,
,Quinnipiac-Netter,,,,30,30,60,79,71,150,139,100,239,185,144,329,
,Yale,277,242,519,283,245,528,287,245,532,285,242,527,292,257,549,
DC,George Washington,339,394,733,350,392,742,330,398,728,328,418,746,312,426,738,
,Georgetown,416,403,819,408,406,814,396,410,806,393,417,810,388,421,809,
,Howard,234,244,478,245,235,480,250,228,478,261,227,488,254,245,499,
FL,FIU-Wertheim,158,129,287,205,168,373,236,208,444,252,229,481,260,234,494,
,Florida,319,244,563,323,244,567,312,259,571,303,279,582,294,295,589,
,Florida Atlantic-Schmidt,58,69,127,87,101,188,122,129,251,131,130,261,141,119,260,
,Florida State,255,226,481,257,229,486,247,239,486,249,240,489,238,247,485,
,Miami-Miller,427,376,803,414,397,811,427,419,846,457,390,847,455,397,852,
,Nova Southeastern-Patel,,,,,,,,,,,,,,,,
,UCF,136,142,278,178,181,359,221,202,423,237,225,462,251,236,487,
,USF-Morsani,308,251,559,347,281,628,375,292,667,403,309,712,403,311,714,
GA,Emory,304,322,626,309,316,625,312,321,633,300,330,630,292,349,641,
,MC Georgia Augusta,522,374,896,530,395,925,556,388,944,542,412,954,505,441,946,
,Mercer,216,187,403,233,187,420,233,192,425,243,195,438,251,202,453,
,Morehouse,91,148,239,100,153,253,113,166,279,126,172,298,126,203,329,
HI,Hawaii-Burns,124,134,258,121,147,268,126,143,269,119,148,267,135,135,270,
IA,Iowa-Carver,372,282,654,392,277,669,382,287,669,364,300,664,371,292,663,
IL,Carle Illinois,,,,,,,,,,,,,,,,
,Chicago Med Franklin,412,375,787,418,376,794,415,374,789,419,380,799,401,390,791,
,Chicago-Pritzker,222,195,417,223,198,421,217,191,408,214,193,407,209,204,413,
,Illinois,749,685,"1,434",760,673,"1,433",751,668,"1,419",773,650,"1,423",758,655,"1,413",
,Loyola-Stritch,311,305,616,326,295,621,345,289,634,363,294,657,336,322,658,
,Northwestern-Feinberg,425,342,767,426,328,754,417,331,748,420,313,733,417,323,740,
,Rush,279,279,558,264,271,535,265,265,530,260,265,525,264,264,528,
,Southern Illinois,159,146,305,152,142,294,157,139,296,167,126,293,172,119,291,
IN,Indiana,747,594,"1,341",756,614,"1,370",771,642,"1,413",791,645,"1,436",803,644,"1,447",
KS,Kansas,445,346,791,479,356,835,476,372,848,480,387,867,470,405,875,
KY,Kentucky,293,201,494,300,203,503,312,212,524,316,225,541,324,239,563,
,Louisville,368,297,665,371,283,654,372,277,649,383,263,646,364,281,645,
LA,LSU New Orleans,437,353,790,453,346,799,473,328,801,481,336,817,492,334,826,
,LSU Shreveport,264,213,477,256,210,466,262,219,481,247,239,486,249,242,491,
,Tulane,449,325,774,451,353,804,446,373,819,448,365,813,418,385,803,
MA,Boston,390,401,791,387,383,770,385,368,753,393,367,760,372,383,755,
,Harvard,442,399,841,435,411,846,435,410,845,427,423,850,422,430,852,
,Massachusetts-Chan,266,298,564,260,304,564,267,298,565,270,297,567,280,318,598,
,Tufts,449,393,842,429,412,841,418,431,849,414,451,865,410,472,882,
MD,Johns Hopkins,315,276,591,312,280,592,296,282,578,300,286,586,303,289,592,
,Maryland,293,390,683,284,401,685,296,379,675,285,391,676,275,399,674,
,Uniformed Services-Hebert,483,205,688,466,215,681,462,221,683,449,236,685,441,243,684,
MI,Central Michigan,,,,28,36,64,81,87,168,135,136,271,176,194,370,
,Michigan,411,373,784,412,372,784,400,391,791,386,393,779,377,407,784,
,Michigan State,399,397,796,418,437,855,401,452,853,409,447,856,387,444,831,
,Oakland Beaumont,67,58,125,120,103,223,169,154,323,220,176,396,240,209,449,
,Wayne State,670,561,"1,231",660,569,"1,229",689,547,"1,236",708,529,"1,237",715,518,"1,233",
,Western Michigan-Stryker,,,,,,,30,24,54,61,53,114,100,84,184,
MN,Mayo-Alix,121,119,240,121,119,240,126,121,247,123,121,244,112,122,234,
,Minnesota,508,488,996,524,481,"1,005",515,490,"1,005",495,495,990,499,482,981,
MO,Missouri Columbia,212,198,410,220,182,402,226,177,403,227,178,405,226,194,420,
,Missouri Kansas City,197,222,419,209,223,432,216,237,453,213,223,436,227,230,457,
,Saint Louis,425,313,738,393,330,723,392,349,741,392,355,747,384,368,752,
,Washington U St Louis,314,299,613,320,292,612,323,293,616,326,288,614,334,307,641,
MS,Mississippi,314,213,527,346,208,554,338,227,565,350,231,581,343,249,592,
NC,Duke,246,230,476,245,237,482,260,234,494,284,236,520,285,257,542,
,East Carolina-Brody,161,160,321,166,162,328,162,161,323,161,156,317,166,162,328,
,North Carolina,402,383,785,422,388,810,435,388,823,419,403,822,409,424,833,
,Wake Forest,263,228,491,257,222,479,255,229,484,254,234,488,247,253,500,
ND,North Dakota,131,129,260,147,119,266,160,119,279,166,128,294,160,135,295,
NE,Creighton,296,288,584,305,305,610,300,322,622,309,311,620,316,310,626,
,Nebraska,310,226,536,322,209,531,326,210,536,322,207,529,316,219,535,
NH,Dartmouth-Geisel,201,212,413,180,211,391,175,214,389,164,225,389,162,231,393,
NJ,Cooper Rowan,21,29,50,50,64,114,86,100,186,121,142,263,139,168,307,
,Hackensack Meridian,,,,,,,,,,,,,,,,
,Rutgers New Jersey,449,308,757,445,305,750,472,284,756,455,296,751,442,318,760,
,Rutgers-RW Johnson,266,350,616,247,324,571,253,339,592,283,370,653,304,382,686,
NM,New Mexico,174,218,392,196,225,421,213,236,449,213,226,439,221,218,439,
NV,Nevada Reno,148,113,261,153,113,266,164,116,280,162,117,279,155,125,280,
,UNLV-Kerkorian,,,,,,,,,,,,,,,,
NY,Albany,314,266,580,308,271,579,294,283,577,315,277,592,315,274,589,
,Buffalo-Jacobs,344,257,601,336,258,594,341,262,603,336,267,603,318,291,609,
,CUNY,,,,,,,,,,,,,26,43,69,
,Columbia-Vagelos,381,367,748,380,373,753,382,373,755,392,368,760,389,358,747,
,Cornell-Weill,270,227,497,274,230,504,269,228,497,270,235,505,278,229,507,
,Einstein,451,411,862,448,395,843,454,396,850,442,393,835,446,377,823,
,Mount Sinai-Icahn,349,304,653,351,298,649,352,305,657,351,316,667,342,320,662,
,NYU Long Island,,,,,,,,,,,,,,,,
,NYU-Grossman,373,353,726,380,347,727,392,329,721,369,320,689,345,300,645,
,New York Medical,430,406,836,415,408,823,429,401,830,441,396,837,431,431,862,
,Renaissance Stony Brook,313,239,552,309,239,548,308,238,546,309,251,560,312,257,569,
,Rochester,246,222,468,243,225,468,230,240,470,237,234,471,231,238,469,
,SUNY Downstate,458,387,845,470,370,840,450,373,823,446,373,819,456,366,822,
,SUNY Upstate,372,285,657,373,295,668,385,276,661,386,269,655,388,274,662,
,Zucker Hofstra Northwell,48,52,100,90,88,178,145,131,276,176,168,344,202,183,385,
OH,Case Western Reserve,497,406,903,499,406,905,489,434,923,496,444,940,488,472,960,
,Cincinnati,373,334,707,366,345,711,372,344,716,373,350,723,372,346,718,
,Northeast Ohio,285,237,522,313,240,553,314,266,580,319,285,604,329,298,627,
,Ohio State,516,412,928,504,395,899,479,391,870,427,389,816,415,407,822,
,Toledo,395,332,727,404,336,740,404,335,739,405,323,728,402,324,726,
,Wright State-Boonshoft,216,211,427,215,208,423,217,210,427,216,227,443,211,232,443,
OK,Oklahoma,397,267,664,398,272,670,408,268,676,402,262,664,387,283,670,
OR,Oregon,269,285,554,279,285,564,293,280,573,291,307,598,291,330,621,
PA,Drexel,563,550,"1,113",552,542,"1,094",557,551,"1,108",552,546,"1,098",547,537,"1,084",
,Geisinger Commonwealth,150,115,265,168,143,311,178,168,346,196,184,380,214,207,421,
,Jefferson-Kimmel,549,551,"1,100",556,546,"1,102",571,543,"1,114",558,544,"1,102",566,553,"1,119",
,Penn State,292,308,600,310,296,606,321,296,617,326,309,635,322,311,633,
,Pennsylvania-Perelman,439,367,806,444,367,811,444,357,801,448,345,793,445,352,797,
,Pittsburgh,361,310,671,377,306,683,371,305,676,371,300,671,374,303,677,
,Temple-Katz,444,381,825,459,389,848,485,409,894,476,406,882,482,407,889,
PR,Caribe,158,150,308,160,140,300,157,140,297,167,136,303,151,143,294,
,Ponce,134,165,299,135,157,292,147,156,303,155,166,321,172,169,341,
,Puerto Rico,219,250,469,227,249,476,233,234,467,243,235,478,243,228,471,
,San Juan Bautista,109,116,225,123,121,244,121,132,253,137,135,272,134,152,286,
RI,Brown-Alpert,216,255,471,217,259,476,243,264,507,262,280,542,282,286,568,
SC,MU South Carolina,410,317,727,414,318,732,430,310,740,424,325,749,430,316,746,
,South Carolina Columbia,191,179,370,200,172,372,227,152,379,231,149,380,227,157,384,
,South Carolina Greenville,24,29,53,45,61,106,84,104,188,125,161,286,151,188,339,
SD,South Dakota-Sanford,138,95,233,138,100,238,128,113,241,139,116,255,144,115,259,
TN,East Tennessee-Quillen,156,128,284,160,130,290,169,122,291,171,120,291,166,125,291,
,Meharry,201,264,465,210,273,483,206,268,474,216,269,485,219,244,463,
,Tennessee,413,251,664,402,266,668,405,265,670,404,273,677,401,278,679,
,Vanderbilt,245,255,500,246,239,485,257,222,479,261,190,451,248,188,436,
TX,Baylor,448,378,826,447,367,814,435,381,816,427,390,817,423,393,816,
,Houston,,,,,,,,,,,,,,,,
,TCU UNTHSC,,,,,,,,,,,,,,,,
,Texas A & M,390,341,731,398,391,789,426,394,820,430,393,823,419,383,802,
,Texas Tech,333,263,596,338,257,595,359,281,640,390,289,679,386,318,704,
