LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,EDUADULT,TRY_MEN,PC_25_64,A,2016,39.76762,
AUS,EDUADULT,TRY_MEN,PC_25_64,A,2017,40.425915,
AUS,EDUADULT,TRY_MEN,PC_25_64,A,2018,40.441612,
AUS,EDUADULT,TRY_MEN,PC_25_64,A,2019,42.475243,
AUS,EDUADULT,TRY_MEN,PC_25_64,A,2020,44.057648,
AUS,EDUADULT,TRY_WOMEN,PC_25_64,A,2016,47.630001,
AUS,EDUADULT,TRY_WOMEN,PC_25_64,A,2017,50.127247,
AUS,EDUADULT,TRY_WOMEN,PC_25_64,A,2018,50.837093,
AUS,EDUADULT,TRY_WOMEN,PC_25_64,A,2019,51.648521,
AUS,EDUADULT,TRY_WOMEN,PC_25_64,A,2020,54.412212,
AUS,EDUADULT,UPPSRY_MEN,PC_25_64,A,2016,40.824184,
AUS,EDUADULT,UPPSRY_MEN,PC_25_64,A,2017,41.172245,
AUS,EDUADULT,UPPSRY_MEN,PC_25_64,A,2018,41.90353,
AUS,EDUADULT,UPPSRY_MEN,PC_25_64,A,2019,40.558659,
AUS,EDUADULT,UPPSRY_MEN,PC_25_64,A,2020,39.753174,
AUS,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2016,31.658438,
AUS,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2017,30.268877,
AUS,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2018,30.615618,
AUS,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2019,31.057135,
AUS,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2020,29.289186,
AUT,EDUADULT,TRY_MEN,PC_25_64,A,2016,32.170181,
AUT,EDUADULT,TRY_MEN,PC_25_64,A,2017,32.91766,
AUT,EDUADULT,TRY_MEN,PC_25_64,A,2018,33.656857,
AUT,EDUADULT,TRY_MEN,PC_25_64,A,2019,34.190922,
AUT,EDUADULT,TRY_MEN,PC_25_64,A,2020,34.398293,
AUT,EDUADULT,TRY_WOMEN,PC_25_64,A,2016,30.600239,
AUT,EDUADULT,TRY_WOMEN,PC_25_64,A,2017,31.872847,
AUT,EDUADULT,TRY_WOMEN,PC_25_64,A,2018,31.769451,
AUT,EDUADULT,TRY_WOMEN,PC_25_64,A,2019,33.357452,
AUT,EDUADULT,TRY_WOMEN,PC_25_64,A,2020,34.013531,
AUT,EDUADULT,UPPSRY_MEN,PC_25_64,A,2016,56.066723,
AUT,EDUADULT,UPPSRY_MEN,PC_25_64,A,2017,55.365974,
AUT,EDUADULT,UPPSRY_MEN,PC_25_64,A,2018,55.005234,
AUT,EDUADULT,UPPSRY_MEN,PC_25_64,A,2019,54.225082,
AUT,EDUADULT,UPPSRY_MEN,PC_25_64,A,2020,53.847668,
AUT,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2016,50.231434,
AUT,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2017,49.77932,
AUT,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2018,50.175697,
AUT,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2019,49.360409,
AUT,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2020,49.058273,
BEL,EDUADULT,TRY_MEN,PC_25_64,A,2016,34.192955,
BEL,EDUADULT,TRY_MEN,PC_25_64,A,2017,36.858852,
BEL,EDUADULT,TRY_MEN,PC_25_64,A,2018,36.94939,
BEL,EDUADULT,TRY_MEN,PC_25_64,A,2019,36.542046,
BEL,EDUADULT,TRY_MEN,PC_25_64,A,2020,37.938366,
BEL,EDUADULT,TRY_WOMEN,PC_25_64,A,2016,40.828674,
BEL,EDUADULT,TRY_WOMEN,PC_25_64,A,2017,43.657627,
BEL,EDUADULT,TRY_WOMEN,PC_25_64,A,2018,44.334103,
BEL,EDUADULT,TRY_WOMEN,PC_25_64,A,2019,44.806469,
BEL,EDUADULT,TRY_WOMEN,PC_25_64,A,2020,46.957001,
BEL,EDUADULT,UPPSRY_MEN,PC_25_64,A,2016,40.122162,
BEL,EDUADULT,UPPSRY_MEN,PC_25_64,A,2017,39.073261,
BEL,EDUADULT,UPPSRY_MEN,PC_25_64,A,2018,40.415058,
BEL,EDUADULT,UPPSRY_MEN,PC_25_64,A,2019,40.611317,
BEL,EDUADULT,UPPSRY_MEN,PC_25_64,A,2020,40.329418,
BEL,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2016,35.047768,
BEL,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2017,34.005287,
BEL,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2018,34.756508,
BEL,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2019,35.415535,
BEL,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2020,34.341011,
CAN,EDUADULT,TRY_MEN,PC_25_64,A,2016,50.077358,
CAN,EDUADULT,TRY_MEN,PC_25_64,A,2017,50.368702,
CAN,EDUADULT,TRY_MEN,PC_25_64,A,2018,51.314053,
CAN,EDUADULT,TRY_MEN,PC_25_64,A,2019,53.165829,
CAN,EDUADULT,TRY_MEN,PC_25_64,A,2020,53.422737,
CAN,EDUADULT,TRY_WOMEN,PC_25_64,A,2016,62.385227,
CAN,EDUADULT,TRY_WOMEN,PC_25_64,A,2017,62.985828,
CAN,EDUADULT,TRY_WOMEN,PC_25_64,A,2018,64.394012,
CAN,EDUADULT,TRY_WOMEN,PC_25_64,A,2019,65.525139,
CAN,EDUADULT,TRY_WOMEN,PC_25_64,A,2020,66.451424,
CAN,EDUADULT,UPPSRY_MEN,PC_25_64,A,2016,39.174831,
CAN,EDUADULT,UPPSRY_MEN,PC_25_64,A,2017,39.287178,
CAN,EDUADULT,UPPSRY_MEN,PC_25_64,A,2018,38.883816,
CAN,EDUADULT,UPPSRY_MEN,PC_25_64,A,2019,37.356785,
CAN,EDUADULT,UPPSRY_MEN,PC_25_64,A,2020,37.700161,
CAN,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2016,29.565395,
CAN,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2017,29.595142,
CAN,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2018,28.637413,
CAN,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2019,27.65555,
CAN,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2020,27.299822,
CZE,EDUADULT,TRY_MEN,PC_25_64,A,2016,21.909687,
CZE,EDUADULT,TRY_MEN,PC_25_64,A,2017,22.416576,
CZE,EDUADULT,TRY_MEN,PC_25_64,A,2018,22.450584,
CZE,EDUADULT,TRY_MEN,PC_25_64,A,2019,22.383299,
CZE,EDUADULT,TRY_MEN,PC_25_64,A,2020,22.470652,
CZE,EDUADULT,TRY_WOMEN,PC_25_64,A,2016,24.062445,
CZE,EDUADULT,TRY_WOMEN,PC_25_64,A,2017,25.483604,
CZE,EDUADULT,TRY_WOMEN,PC_25_64,A,2018,26.133144,
CZE,EDUADULT,TRY_WOMEN,PC_25_64,A,2019,26.108458,
CZE,EDUADULT,TRY_WOMEN,PC_25_64,A,2020,27.334427,
CZE,EDUADULT,UPPSRY_MEN,PC_25_64,A,2016,73.080116,
CZE,EDUADULT,UPPSRY_MEN,PC_25_64,A,2017,72.735123,
CZE,EDUADULT,UPPSRY_MEN,PC_25_64,A,2018,72.602074,
CZE,EDUADULT,UPPSRY_MEN,PC_25_64,A,2019,72.427505,
CZE,EDUADULT,UPPSRY_MEN,PC_25_64,A,2020,72.291992,
CZE,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2016,67.758606,
CZE,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2017,66.911522,
CZE,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2018,66.496178,
CZE,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2019,66.546837,
CZE,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2020,65.980049,
DNK,EDUADULT,TRY_MEN,PC_25_64,A,2016,33.078484,
DNK,EDUADULT,TRY_MEN,PC_25_64,A,2017,33.517536,
DNK,EDUADULT,TRY_MEN,PC_25_64,A,2018,33.794849,
DNK,EDUADULT,TRY_MEN,PC_25_64,A,2019,34.907452,
DNK,EDUADULT,TRY_WOMEN,PC_25_64,A,2016,42.522121,
DNK,EDUADULT,TRY_WOMEN,PC_25_64,A,2017,44.316708,
DNK,EDUADULT,TRY_WOMEN,PC_25_64,A,2018,45.166317,
DNK,EDUADULT,TRY_WOMEN,PC_25_64,A,2019,45.869457,
DNK,EDUADULT,UPPSRY_MEN,PC_25_64,A,2016,45.757957,
DNK,EDUADULT,UPPSRY_MEN,PC_25_64,A,2017,45.575832,
DNK,EDUADULT,UPPSRY_MEN,PC_25_64,A,2018,45.018398,
DNK,EDUADULT,UPPSRY_MEN,PC_25_64,A,2019,44.831509,
DNK,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2016,39.210312,
DNK,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2017,38.504265,
DNK,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2018,38.164898,
DNK,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2019,37.594078,
FIN,EDUADULT,TRY_MEN,PC_25_64,A,2016,36.531628,
FIN,EDUADULT,TRY_MEN,PC_25_64,A,2017,36.63578,
FIN,EDUADULT,TRY_MEN,PC_25_64,A,2018,37.464184,
FIN,EDUADULT,TRY_MEN,PC_25_64,A,2019,38.580463,
FIN,EDUADULT,TRY_MEN,PC_25_64,A,2020,39.971851,
FIN,EDUADULT,TRY_WOMEN,PC_25_64,A,2016,50.7971,
FIN,EDUADULT,TRY_WOMEN,PC_25_64,A,2017,52.151714,
FIN,EDUADULT,TRY_WOMEN,PC_25_64,A,2018,53.070175,
FIN,EDUADULT,TRY_WOMEN,PC_25_64,A,2019,53.511948,
FIN,EDUADULT,TRY_WOMEN,PC_25_64,A,2020,56.023224,
FIN,EDUADULT,UPPSRY_MEN,PC_25_64,A,2016,48.827293,
FIN,EDUADULT,UPPSRY_MEN,PC_25_64,A,2017,48.396294,
FIN,EDUADULT,UPPSRY_MEN,PC_25_64,A,2018,48.997135,
FIN,EDUADULT,UPPSRY_MEN,PC_25_64,A,2019,49.332397,
FIN,EDUADULT,UPPSRY_MEN,PC_25_64,A,2020,48.979591,
FIN,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2016,39.710144,
FIN,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2017,39.095551,
FIN,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2018,38.66959,
FIN,EDUADULT,UPPSRY_WOMEN,PC_25_64,A,2019,39.174511,
