LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,1995,34.05676792,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,1996,34.03231267,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,1997,34.73996804,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,1998,35.21860974,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,1999,35.77038014,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2000,35.97424735,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2001,35.33760589,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2002,35.52760796,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2003,35.53922815,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2004,35.70324037,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2005,35.78573059,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2006,36.14003569,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2007,36.46851491,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2008,37.76111142,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2009,39.0320794,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2010,39.99588018,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2011,39.88955755,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2012,39.17966044,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2013,39.13140465,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2014,39.60757445,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2015,39.73064042,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2016,39.23772717,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2017,39.05115935,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2018,39.27517863,
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2019,40.16957308,E
ESP,COMPEMPLOYEEACTY,SERV,PC_GVA,A,2020,41.97980512,E
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1970,56.26864461,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1971,56.83608251,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1972,56.99754574,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1973,56.7277464,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1974,58.07077852,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1975,60.66082035,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1976,61.29957137,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1977,61.41752315,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1978,61.50163543,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1979,61.52970944,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1980,62.01729464,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1981,62.28486399,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1982,62.27460612,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1983,61.63597765,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1984,60.90606687,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1985,60.27008598,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1986,58.67944095,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1987,58.30088778,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1988,57.01362075,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1989,56.17673964,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1990,56.61029843,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1991,56.94578425,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1992,56.80223551,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1993,57.15474202,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1994,56.83695516,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1995,57.04905107,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1996,57.26481875,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1997,56.85892392,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1998,56.41804324,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,1999,56.92908705,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2000,56.66008968,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2001,56.75013873,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2002,57.17819636,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2003,57.28975595,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2004,56.83876061,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2005,56.94284985,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2006,56.93759429,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2007,56.23666077,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2008,56.3470093,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2009,57.88225654,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2010,57.86059551,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2011,57.82423619,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2012,58.24889019,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2013,58.39799225,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2014,58.46219704,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2015,58.01477637,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2016,58.25785386,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2017,58.63955792,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2018,58.59504132,
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2019,57.29446187,E
FRA,COMPEMPLOYEEACTY,TOT,PC_GVA,A,2020,58.15495708,E
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,1995,0.568429643,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,1996,0.559862092,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,1997,0.609215936,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,1998,0.626653039,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,1999,0.601735392,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2000,0.589485694,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2001,0.575011187,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2002,0.547519769,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2003,0.519589,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2004,0.515363534,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2005,0.500834925,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2006,0.487485748,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2007,0.477830067,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2008,0.452299736,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2009,0.459460403,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2010,0.512238211,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2011,0.519669183,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2012,0.47113954,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2013,0.482600638,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2014,0.491622418,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2015,0.508856182,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2016,0.510939083,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2017,0.512827817,
ESP,COMPEMPLOYEEACTY,AGR,PC_GVA,A,2018,0.508715858,
