LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
GRC,HHFT,NETBALANCE,PC_NHHDI,A,1995,14.80474,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,1996,11.44894,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,1997,10.2062,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,1998,1.777678,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,1999,6.615053,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2000,2.34389,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2001,-0.6574365,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2002,-2.487346,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2003,13.11822,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2004,9.031675,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2005,16.37034,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2006,4.491409,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2007,5.58647,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2008,4.940311,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2009,7.716043,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2010,-10.1236,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2011,-3.739007,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2012,-10.3116,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2013,-2.651909,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2014,-2.425854,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2015,5.182189,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2016,-1.550647,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2017,-3.141646,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2018,-2.075522,
GRC,HHFT,NETBALANCE,PC_NHHDI,A,2019,4.197052,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,1996,7.211654,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,1997,5.898536,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,1998,6.364786,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,1999,8.358167,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2000,10.07418,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2001,5.896155,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2002,7.077698,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2003,7.776968,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2004,7.095493,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2005,8.583223,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2006,8.990784,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2007,10.08265,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2008,9.776842,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2009,8.599269,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2010,6.559808,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2011,4.103763,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2012,5.292146,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2013,3.355457,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2014,4.485699,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2015,3.73807,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2016,4.857758,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2017,3.920737,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2018,3.869073,
AUT,HHFT,NETBALANCE,PC_NHHDI,A,2019,5.079487,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2003,8.817575,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2004,5.563879,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2005,4.052478,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2006,5.15345,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2007,2.197327,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2008,2.423686,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2009,6.041045,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2010,8.096017,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2011,4.148604,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2012,7.093692,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2013,6.924097,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2014,7.231705,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2015,5.200447,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2016,5.091795,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2017,4.819838,
CHL,HHFT,NETBALANCE,PC_NHHDI,A,2018,4.805861,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2002,-4.97806,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2003,-12.0683,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2004,-11.23798,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2005,-18.09547,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2006,-17.03015,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2007,-18.90643,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2008,-5.444879,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2009,10.9786,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2010,13.10978,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2011,8.039222,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2012,12.06387,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2013,7.427844,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2014,10.10094,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2015,8.904881,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2016,6.221508,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2017,5.761604,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2018,7.39549,
IRL,HHFT,NETBALANCE,PC_NHHDI,A,2019,8.494439,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,1995,2.108498,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,1996,2.751871,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,1997,0.3411654,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,1998,3.696787,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,1999,2.332741,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2000,1.096827,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2001,-1.819158,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2002,3.367813,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2003,2.890066,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2004,1.359492,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2005,4.004301,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2006,-7.942488,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2007,-7.519296,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2008,-5.015577,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2009,0.0459187,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2010,-1.215937,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2011,-2.553812,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2012,-1.868267,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2013,-3.215805,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2014,0.1812708,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2015,0.4247381,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2016,-2.232064,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2017,-1.726032,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2018,-2.305546,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2019,0.6444145,
NOR,HHFT,NETBALANCE,PC_NHHDI,A,2020,4.358353,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,1995,10.19594,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,1996,2.654212,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,1997,2.494865,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,1998,3.223305,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,1999,2.076511,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2000,-2.597949,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2001,-0.6185626,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2002,-0.7322334,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2003,1.463459,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2004,-1.41913,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2005,-4.83985,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2006,-5.035743,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2007,-4.124832,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2008,-2.414202,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2009,4.100627,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2010,0.0166076,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2011,-3.748178,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2012,-2.900331,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2013,-1.806852,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2014,-2.515383,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2015,-3.946887,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2016,-4.286962,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2017,-2.981425,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2018,-4.871214,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2019,0.6275227,
FIN,HHFT,NETBALANCE,PC_NHHDI,A,2020,1.822406,
EST,HHFT,NETBALANCE,PC_NHHDI,A,1995,4.689383,
EST,HHFT,NETBALANCE,PC_NHHDI,A,1996,2.948883,
EST,HHFT,NETBALANCE,PC_NHHDI,A,1997,0.7064844,
